Year,Location,Governor
2018,United States,33 Republicans; 17 Democrats; 1 Independent
2018,Alabama,Kay Ivey (R)
2018,Alaska,Bill Walker (I)
2018,Arizona,Doug Ducey (R)
2018,Arkansas,Asa Hutchinson (R)
2018,California,Jerry Brown (D)
2018,Colorado,John Hickenlooper (D)
2018,Connecticut,Dan Malloy (D)
2018,Delaware,John Carney (D)
2018,District of Columbia,Mayor Muriel Bowser (D)
2018,Florida,Rick Scott (R)
2018,Georgia,Nathan Deal (R)
2018,Hawaii,David Ige (D)
2018,Idaho,"C.L. ""Butch"" Otter  (R)"
2018,Illinois,Bruce Rauner (R)
2018,Indiana,Eric Holcomb (R)
2018,Iowa,Kim Reynolds  (R)
2018,Kansas,Jeff Colyer (R)
2018,Kentucky,Matt Bevin (R)
2018,Louisiana,John Bel Edwards (D)
2018,Maine,Paul LePage (R)
2018,Maryland,Larry Hogan (R)
2018,Massachusetts,Charlie Baker (R)
2018,Michigan,Rick Snyder (R)
2018,Minnesota,Mark Dayton (D)
2018,Mississippi,Phil Bryant (R)
2018,Missouri,Mike Parson (R)
2018,Montana,Steve Bullock (D)
2018,Nebraska,Pete Ricketts (R)
2018,Nevada,Brian Sandoval (R)
2018,New Hampshire,Chris Sununu (R)
2018,New Jersey,Phil Murphy (D)
2018,New Mexico,Susana Martinez (R)
2018,New York,Andrew Cuomo (D)
2018,North Carolina,Roy Cooper (D)
2018,North Dakota,Doug Burgum (R)
2018,Ohio,John Kasich (R)
2018,Oklahoma,Mary Fallin (R)
2018,Oregon,Kate Brown (D)
2018,Pennsylvania,Tom Wolf (D)
2018,Rhode Island,Gina Raimondo (D)
2018,South Carolina,Henry McCaster (R)
2018,South Dakota,Dennis Daugaard (R)
2018,Tennessee,Bill Haslam (R)
2018,Texas,Greg Abbott (R)
2018,Utah,Gary R. Herbert (R)
2018,Vermont,Phil Scott (R)
2018,Virginia,Ralph Northam (D)
2018,Washington,Jay Inslee (D)
2018,West Virginia,Jim Justice (R)
2018,Wisconsin,Scott Walker (R)
2018,Wyoming,Matthew Mead (R)
