Year,Location,Adults with Children,Adults with No Children,Total,Adults with Children,Adults with No Children,Total
2016,United States,0.12,0.11,0.13,7917300,14157300,22074600
2016,Alabama,0.16,0.13,0.17,147100,270700,417800
2016,Alaska,0.12,0.11,0.13,19300,28100,47400
2016,Arizona,0.17,0.13,0.16,216100,353200,569300
2016,Arkansas,0.15,0.15,0.16,90800,175600,266400
2016,California,0.13,0.12,0.14,1127000,1863800,2990800
2016,Colorado,0.06,0.11,0.09,73400,228100,301500
2016,Connecticut,0.12,0.07,0.10,85000,100400,185300
2016,Delaware,0.12,0.10,0.12,20400,42000,62400
2016,District of Columbia,0.16,0.14,0.16,16200,50900,67000
2016,Florida,0.12,0.12,0.13,450600,1003400,1453900
2016,Georgia,0.15,0.12,0.16,315000,490700,805700
2016,Hawaii,0.09,0.08,0.09,26200,46300,72500
2016,Idaho,0.08,0.13,0.11,33500,71400,104900
2016,Illinois,0.12,0.09,0.12,284000,477100,761000
2016,Indiana,0.09,0.12,0.12,137100,283500,420600
2016,Iowa,0.11,0.09,0.10,75500,105400,181000
2016,Kansas,0.09,0.10,0.11,54400,113100,167500
2016,Kentucky,0.14,0.15,0.15,121300,243400,364800
2016,Louisiana,0.18,0.18,0.20,159600,334800,494400
2016,Maine,0.14,0.11,0.13,37400,59600,97100
2016,Maryland,0.07,0.07,0.07,79000,159700,238700
2016,Massachusetts,0.06,0.11,0.10,79800,332700,412500
2016,Michigan,0.12,0.09,0.11,230900,368700,599600
2016,Minnesota,0.07,0.08,0.09,81200,171600,252800
2016,Mississippi,0.21,0.19,0.21,126900,212700,339600
2016,Missouri,0.13,0.11,0.13,163500,226000,389500
2016,Montana,0.12,0.11,0.12,24700,43600,68300
2016,Nebraska,0.08,0.08,0.10,35400,50400,85800
2016,Nevada,0.08,0.11,0.10,46200,125700,172000
2016,New Hampshire,0.05,0.06,0.07,12600,35400,48000
2016,New Jersey,0.08,0.08,0.10,152800,284300,437100
2016,New Mexico,0.18,0.17,0.18,73300,137700,211000
2016,New York,0.12,0.10,0.12,432100,797700,1229800
2016,North Carolina,0.15,0.12,0.14,312100,457200,769300
2016,North Dakota,0.09,0.10,0.11,15600,28600,44200
2016,Ohio,0.14,0.11,0.14,311100,515000,826200
2016,Oklahoma,0.15,0.12,0.15,125700,173600,299400
2016,Oregon,0.11,0.11,0.12,95800,174100,269900
2016,Pennsylvania,0.11,0.09,0.11,277900,444800,722700
2016,Rhode Island,0.10,0.11,0.12,20800,50200,71100
2016,South Carolina,0.13,0.13,0.14,117900,261800,379700
2016,South Dakota,0.14,0.13,0.15,24300,38300,62500
2016,Tennessee,0.13,0.14,0.15,179900,371400,551300
2016,Texas,0.13,0.11,0.14,816200,1172500,1988700
2016,Utah,0.08,0.09,0.09,65100,82600,147700
2016,Vermont,0.08,0.10,0.10,9900,26500,36400
2016,Virginia,0.08,0.13,0.12,141200,426700,567900
2016,Washington,0.11,0.10,0.11,169600,289400,458900
2016,West Virginia,0.18,0.18,0.18,58700,135700,194400
2016,Wisconsin,0.12,0.09,0.11,136800,198000,334800
2016,Wyoming,0.09,0.11,0.11,10600,22900,33400
