Year,Location,Male,Female,Total,Male,Female,Total
2016,United States,0.10,0.13,0.13,9042200,13032400,22074600
2016,Alabama,0.11,0.18,0.17,149400,268400,417800
2016,Alaska,0.10,0.13,0.13,20800,26600,47400
2016,Arizona,0.12,0.16,0.16,246800,322500,569300
2016,Arkansas,0.12,0.18,0.16,103000,163400,266400
2016,California,0.12,0.13,0.14,1394600,1596200,2990800
2016,Colorado,0.09,0.09,0.09,148600,153000,301500
2016,Connecticut,0.07,0.09,0.10,81100,104200,185300
2016,Delaware,0.09,0.12,0.12,25700,36800,62400
2016,District of Columbia,0.11,0.18,0.16,24300,42800,67000
2016,Florida,0.10,0.14,0.13,568000,885900,1453900
2016,Georgia,0.10,0.15,0.16,303400,502300,805700
2016,Hawaii,0.08,0.10,0.09,31700,40800,72500
2016,Idaho,0.11,0.11,0.11,50800,54100,104900
2016,Illinois,0.09,0.11,0.12,320200,440800,761000
2016,Indiana,0.08,0.13,0.12,156100,264500,420600
2016,Iowa,0.08,0.11,0.10,74900,106100,181000
2016,Kansas,0.09,0.11,0.11,78400,89100,167500
2016,Kentucky,0.11,0.17,0.15,141100,223600,364800
2016,Louisiana,0.14,0.21,0.20,192100,302300,494400
2016,Maine,0.10,0.14,0.13,39400,57700,97100
2016,Maryland,0.06,0.07,0.07,100500,138200,238700
2016,Massachusetts,0.07,0.12,0.10,151400,261000,412500
2016,Michigan,0.08,0.12,0.11,230000,369700,599600
2016,Minnesota,0.05,0.10,0.09,83300,169500,252800
2016,Mississippi,0.16,0.23,0.21,131500,208100,339600
2016,Missouri,0.08,0.15,0.13,130200,259300,389500
2016,Montana,0.11,0.12,0.12,32100,36200,68300
2016,Nebraska,0.06,0.10,0.10,34700,51100,85800
2016,Nevada,0.08,0.11,0.10,73100,98900,172000
2016,New Hampshire,0.04,0.07,0.07,18000,30000,48000
2016,New Jersey,0.07,0.10,0.10,174600,262500,437100
2016,New Mexico,0.16,0.19,0.18,95000,115900,211000
2016,New York,0.08,0.12,0.12,474800,755000,1229800
2016,North Carolina,0.11,0.14,0.14,318500,450800,769300
2016,North Dakota,0.09,0.11,0.11,20800,23400,44200
2016,Ohio,0.09,0.15,0.14,308000,518100,826200
2016,Oklahoma,0.12,0.14,0.15,143400,155900,299400
2016,Oregon,0.08,0.13,0.12,106100,163800,269900
2016,Pennsylvania,0.08,0.11,0.11,280700,442000,722700
2016,Rhode Island,0.09,0.13,0.12,28600,42500,71100
2016,South Carolina,0.09,0.17,0.14,129000,250700,379700
2016,South Dakota,0.11,0.16,0.15,26500,36100,62500
2016,Tennessee,0.12,0.15,0.15,234500,316800,551300
2016,Texas,0.10,0.14,0.14,848300,1140500,1988700
2016,Utah,0.08,0.09,0.09,69800,77900,147700
2016,Vermont,0.08,0.11,0.10,15000,21400,36400
2016,Virginia,0.09,0.13,0.12,222900,345000,567900
2016,Washington,0.08,0.13,0.11,170500,288500,458900
2016,West Virginia,0.16,0.20,0.18,84400,110000,194400
2016,Wisconsin,0.08,0.11,0.11,142200,192700,334800
2016,Wyoming,0.08,0.12,0.11,13300,20200,33400
