Year,Location,Adults with Children,Adults with No Children,Total,Adults with Children,Adults with No Children,Total
2016,United States,65880400,127067500,192947900,0.34,0.66,1.00
2016,Alabama,905600,2012700,2918400,0.31,0.69,1.00
2016,Alaska,157600,267800,425400,0.37,0.63,1.00
2016,Arizona,1271900,2789700,4061600,0.31,0.69,1.00
2016,Arkansas,587500,1134200,1721700,0.34,0.66,1.00
2016,California,8541000,15562100,24103200,0.35,0.65,1.00
2016,Colorado,1226100,2161700,3387900,0.36,0.64,1.00
2016,Connecticut,692300,1518500,2210800,0.31,0.69,1.00
2016,Delaware,165500,408800,574300,0.29,0.71,1.00
2016,District of Columbia,100700,361700,462400,0.22,0.78,1.00
2016,Florida,3765300,8396800,12162200,0.31,0.69,1.00
2016,Georgia,2155000,4174700,6329700,0.34,0.66,1.00
2016,Hawaii,280500,554800,835300,0.34,0.66,1.00
2016,Idaho,396400,558600,955000,0.42,0.58,1.00
2016,Illinois,2456500,5154100,7610700,0.32,0.68,1.00
2016,Indiana,1519800,2343100,3862900,0.39,0.61,1.00
2016,Iowa,675500,1182500,1858000,0.36,0.64,1.00
2016,Kansas,600200,1079400,1679700,0.36,0.64,1.00
2016,Kentucky,895400,1674900,2570300,0.35,0.65,1.00
2016,Louisiana,900200,1862600,2762900,0.33,0.67,1.00
2016,Maine,273900,525000,798800,0.34,0.66,1.00
2016,Maryland,1214900,2404400,3619300,0.34,0.66,1.00
2016,Massachusetts,1386400,2902700,4289000,0.32,0.68,1.00
2016,Michigan,1957900,4036700,5994500,0.33,0.67,1.00
2016,Minnesota,1147100,2035500,3182600,0.36,0.64,1.00
2016,Mississippi,614700,1128800,1743400,0.35,0.65,1.00
2016,Missouri,1277300,2103500,3380800,0.38,0.62,1.00
2016,Montana,198900,399900,598800,0.33,0.67,1.00
2016,Nebraska,430900,640700,1071700,0.40,0.60,1.00
2016,Nevada,577000,1164400,1741400,0.33,0.67,1.00
2016,New Hampshire,255600,552500,808000,0.32,0.68,1.00
2016,New Jersey,1847600,3543500,5391100,0.34,0.66,1.00
2016,New Mexico,401800,812100,1213900,0.33,0.67,1.00
2016,New York,3599700,8269100,11868800,0.30,0.70,1.00
2016,North Carolina,2085100,3950100,6035200,0.35,0.65,1.00
2016,North Dakota,168800,283900,452700,0.37,0.63,1.00
2016,Ohio,2294400,4588100,6882500,0.33,0.67,1.00
2016,Oklahoma,836400,1454700,2291000,0.37,0.63,1.00
2016,Oregon,875400,1622400,2497800,0.35,0.65,1.00
2016,Pennsylvania,2470800,5012300,7483000,0.33,0.67,1.00
2016,Rhode Island,202500,457900,660400,0.31,0.69,1.00
2016,South Carolina,934800,1967300,2902100,0.32,0.68,1.00
2016,South Dakota,174900,300200,475100,0.37,0.63,1.00
2016,Tennessee,1350800,2688700,4039500,0.33,0.67,1.00
2016,Texas,6197400,10357400,16554800,0.37,0.63,1.00
2016,Utah,799500,971200,1770700,0.45,0.55,1.00
2016,Vermont,118600,260200,378900,0.31,0.69,1.00
2016,Virginia,1732200,3283200,5015400,0.35,0.65,1.00
2016,Washington,1520700,2929900,4450600,0.34,0.66,1.00
2016,West Virginia,333100,747500,1080700,0.31,0.69,1.00
2016,Wisconsin,1184900,2262500,3447400,0.34,0.66,1.00
2016,Wyoming,123300,212300,335600,0.37,0.63,1.00
