Year,Location,Metropolitan,Nonmetropolitan,Total,Metropolitan,Nonmetropolitan,Total
2016,United States,0.123,0.159,0.1282,34021400,7056100,41077500
2016,Alabama,0.142,0.208,0.1646,446300,N\/A,795800
2016,Alaska,0.118,0.159,0.1302,59000,33600,92500
2016,Arizona,0.157,0.248,0.1625,1012600,N\/A,1119500
2016,Arkansas,0.159,0.168,0.1614,336300,139200,475500
2016,California,0.139,0.156,0.1398,5294500,N\/A,5480200
2016,Colorado,0.076,0.138,0.086,350300,N\/A,474100
2016,Connecticut,0.096,N\/A,0.0992,327900,N\/A,354200
2016,Delaware,0.118,N\/A,0.1177,111600,N\/A,111600
2016,District of Columbia,0.164,N\/A,0.1641,112500,N\/A,112500
2016,Florida,0.128,0.196,0.1304,2549500,N\/A,2680000
2016,Georgia,0.145,0.204,0.1547,1232600,358200,1590800
2016,Hawaii,0.085,0.130,0.0931,96900,32700,129600
2016,Idaho,0.100,0.132,0.1111,111700,74900,186600
2016,Illinois,0.121,0.135,0.1223,1416400,N\/A,1542100
2016,Indiana,0.121,0.116,0.1196,624300,N\/A,777600
2016,Iowa,0.082,0.125,0.0996,152400,157000,309400
2016,Kansas,0.104,0.141,0.114,215300,N\/A,326600
2016,Kentucky,0.117,0.197,0.1531,282800,389000,671800
2016,Louisiana,0.189,0.263,0.2028,709900,N\/A,928500
2016,Maine,0.119,0.147,0.1298,98500,73000,171500
2016,Maryland,0.071,N\/A,0.072,406300,N\/A,427000
2016,Massachusetts,0.098,N\/A,0.0963,649900,N\/A,653000
2016,Michigan,0.113,0.104,0.1121,982200,N\/A,1109400
2016,Minnesota,0.083,0.103,0.0877,353600,123100,476600
2016,Mississippi,0.180,0.243,0.2126,251700,375100,626800
2016,Missouri,0.122,0.165,0.1313,570700,202400,773100
2016,Montana,0.111,0.127,0.121,40600,84700,125300
2016,Nebraska,0.093,0.108,0.0984,114600,70000,184700
2016,Nevada,0.104,N\/A,0.1021,274500,N\/A,300500
2016,New Hampshire,0.064,0.069,0.0653,57100,29000,86100
2016,New Jersey,0.095,N\/A,0.0953,843300,N\/A,843300
2016,New Mexico,0.163,0.213,0.1786,230300,135100,365300
2016,New York,0.119,N\/A,0.12,2197300,N\/A,2337300
2016,North Carolina,0.123,0.192,0.1366,991100,N\/A,1375800
2016,North Dakota,0.113,0.109,0.1112,43500,39800,83400
2016,Ohio,0.138,0.144,0.1395,1192400,407000,1599400
2016,Oklahoma,0.132,0.171,0.1483,301800,279900,581700
2016,Oregon,0.114,0.172,0.1193,430900,N\/A,492700
2016,Pennsylvania,0.115,0.098,0.1137,1306400,N\/A,1428300
2016,Rhode Island,0.116,N\/A,0.1157,122000,N\/A,122000
2016,South Carolina,0.131,0.203,0.1427,533000,167500,700500
2016,South Dakota,0.140,0.150,0.1449,59900,64100,124000
2016,Tennessee,0.145,0.177,0.1514,783500,226800,1010200
2016,Texas,0.137,0.157,0.1383,3500800,N\/A,3826500
2016,Utah,0.081,0.126,0.0869,215400,N\/A,267700
2016,Vermont,0.074,0.109,0.0978,14900,46000,60900
2016,Virginia,0.106,0.171,0.1151,750600,N\/A,941300
2016,Washington,0.107,0.144,0.1108,690900,N\/A,808200
2016,West Virginia,0.152,0.227,0.1829,161300,170600,331900
2016,Wisconsin,0.097,0.132,0.1078,383600,237900,621500
2016,Wyoming,0.159,0.091,0.1104,26100,37100,63100
