Year,Location,White,Black,Hispanic,Other,Total,White,Black,Hispanic,Other,Total
2016,United States,0.09,0.22,0.20,0.13,0.13,17494800,8719100,11251700,3611900,41077500
2016,Alabama,0.12,0.25,0.34,N\/A,0.16,373000,331900,N\/A,N\/A,795800
2016,Alaska,0.08,N\/A,N\/A,0.22,0.13,32800,N\/A,N\/A,48100,92500
2016,Arizona,0.10,0.25,0.23,0.26,0.16,373400,77600,543900,124600,1119500
2016,Arkansas,0.12,0.29,0.25,0.22,0.16,257700,133800,51900,32200,475500
2016,California,0.10,0.23,0.19,0.10,0.14,1438100,496800,2836400,708900,5480200
2016,Colorado,0.07,N\/A,0.14,N\/A,0.09,261600,N\/A,142600,N\/A,474100
2016,Connecticut,0.07,0.22,0.18,N\/A,0.10,163000,78100,106600,N\/A,354200
2016,Delaware,0.08,0.20,0.21,N\/A,0.12,47600,39200,22800,N\/A,111600
2016,District of Columbia,0.06,0.27,0.10,0.15,0.16,15700,83500,6900,6400,112500
2016,Florida,0.09,0.20,0.18,0.11,0.13,1004500,603800,976500,95200,2680000
2016,Georgia,0.09,0.23,0.25,N\/A,0.15,506300,760300,255200,N\/A,1590800
2016,Hawaii,0.08,N\/A,N\/A,0.10,0.09,20000,N\/A,N\/A,95700,129600
2016,Idaho,0.10,N\/A,0.17,N\/A,0.11,137300,N\/A,36900,N\/A,186600
2016,Illinois,0.08,0.25,0.17,0.12,0.12,607500,450400,374300,109800,1542100
2016,Indiana,0.10,0.29,N\/A,N\/A,0.12,519600,173800,36400,N\/A,777600
2016,Iowa,0.09,N\/A,N\/A,N\/A,0.10,228800,N\/A,N\/A,N\/A,309400
2016,Kansas,0.08,0.20,0.20,0.23,0.11,170500,34300,77100,N\/A,326600
2016,Kentucky,0.13,0.25,N\/A,0.31,0.15,497300,86200,N\/A,N\/A,671800
2016,Louisiana,0.14,0.30,0.24,0.24,0.20,384800,444300,57400,42000,928500
2016,Maine,0.11,0.87,N\/A,N\/A,0.13,135300,N\/A,N\/A,N\/A,171500
2016,Maryland,0.03,0.11,N\/A,N\/A,0.07,106400,183700,N\/A,N\/A,427000
2016,Massachusetts,0.06,N\/A,0.26,0.15,0.10,299300,N\/A,220500,91800,653000
2016,Michigan,0.08,0.24,0.23,0.11,0.11,609400,316600,118700,64600,1109400
2016,Minnesota,0.07,0.38,N\/A,N\/A,0.09,286500,133900,N\/A,N\/A,476600
2016,Mississippi,0.11,0.36,0.44,N\/A,0.21,185100,387900,N\/A,N\/A,626800
2016,Missouri,0.12,0.16,N\/A,0.22,0.13,552300,102700,N\/A,N\/A,773100
2016,Montana,0.11,N\/A,N\/A,0.28,0.12,100000,N\/A,N\/A,N\/A,125300
2016,Nebraska,0.07,N\/A,0.21,N\/A,0.10,105000,N\/A,N\/A,N\/A,184700
2016,Nevada,0.07,0.30,0.10,0.08,0.10,115200,75200,79600,30500,300500
2016,New Hampshire,0.06,N\/A,N\/A,N\/A,0.07,78200,N\/A,N\/A,N\/A,86100
2016,New Jersey,0.06,0.17,0.17,0.08,0.10,311800,188700,261700,81200,843300
2016,New Mexico,0.11,0.13,0.21,0.27,0.18,80700,N\/A,195100,N\/A,365300
2016,New York,0.08,0.17,0.19,0.15,0.12,875600,461200,668200,332300,2337300
2016,North Carolina,0.11,0.16,0.26,0.16,0.14,653700,340600,271400,N\/A,1375800
2016,North Dakota,0.07,0.32,N\/A,0.39,0.11,46200,7300,N\/A,25500,83400
2016,Ohio,0.10,0.29,0.34,0.16,0.14,927500,404300,171100,96500,1599400
2016,Oklahoma,0.09,0.31,0.22,0.24,0.15,231900,87700,100200,161900,581700
2016,Oregon,0.10,N\/A,0.21,0.15,0.12,296400,N\/A,120300,56500,492700
2016,Pennsylvania,0.08,0.18,0.31,0.13,0.11,811600,250300,268700,97700,1428300
2016,Rhode Island,0.07,N\/A,0.30,N\/A,0.12,51000,N\/A,50100,N\/A,122000
2016,South Carolina,0.09,0.25,0.26,N\/A,0.14,279900,324600,N\/A,N\/A,700500
2016,South Dakota,0.10,N\/A,0.34,0.38,0.14,69700,N\/A,14000,N\/A,124000
2016,Tennessee,0.11,0.27,0.29,0.14,0.15,553900,301500,115200,39600,1010200
2016,Texas,0.08,0.21,0.20,0.09,0.14,897900,698200,2068500,161900,3826500
2016,Utah,0.07,N\/A,0.13,0.12,0.09,179700,N\/A,59200,19400,267700
2016,Vermont,0.10,N\/A,N\/A,N\/A,0.10,55600,N\/A,N\/A,N\/A,60900
2016,Virginia,0.09,0.21,0.11,0.11,0.12,442100,316700,100200,82300,941300
2016,Washington,0.08,N\/A,0.21,0.12,0.11,404100,N\/A,217100,147300,808200
2016,West Virginia,0.18,0.26,N\/A,N\/A,0.18,301000,16000,N\/A,N\/A,331900
2016,Wisconsin,0.08,0.31,0.16,0.24,0.11,362900,98800,N\/A,83000,621500
2016,Wyoming,0.10,N\/A,0.19,N\/A,0.11,49100,N\/A,10100,N\/A,63100
